Data from JPL RL05p1M (SS48z-CRI),,
Greenland GIA correction: A et al.,,
Antarctica GIA correction: Ivins et al.,,
Values are anomalies relative to timeseries mean,,
"Provided by David Wiese, JPL",,
,,
Greenland Trend (2002 - 2014): -287 Gt/yr,,
Antarctica Trend (2002 - 2014): -134 Gt/yr,,
,,
TIME (year.decimal),Greenland mass (Gt),Antarctica mass (Gt)
2002.29,1490.68,967.2
2002.35,1485.69,978.55
2002.62,1286.84,512.02
2002.71,1257.85,858.85
2002.79,1257.17,693.87
2002.87,1288.44,591.8
2002.96,1336.86,657.56
2003.04,1354.37,477.02
2003.12,1363.42,545.79
2003.2,1426.92,494.39
2003.29,1479.79,577.3
2003.36,1504.11,679.3
2003.54,1324.7,514.42
2003.62,1162.43,555.6
2003.71,1104.46,603.51
2003.79,1126.45,557.76
2003.87,1168.57,527.64
2003.96,1155.66,556.8
2004.02,1125.85,483.31
2004.13,1133.01,77.93
2004.21,1159.06,366.8
2004.29,1249.03,290.7
2004.37,1235.6,564.23
2004.46,1172.84,552.07
2004.54,1092.28,335.96
2004.62,962.16,304.95
2004.71,970.66,380.4
2004.79,906.18,676.83
2004.87,947.28,455.02
2004.96,933.97,405.3
2005.04,936.41,339.3
2005.12,1021.98,291.52
2005.2,1070.69,296.7
2005.29,1097.61,366.57
2005.37,1058.65,359.15
2005.46,1026.6,435.29
2005.54,914.1,483.75
2005.62,744.81,282.45
2005.71,663.34,499.22
2005.79,608.83,482.63
2005.87,620.45,510.67
2005.96,737.9,488.8
2006.04,743.89,320.04
2006.12,792.83,289.87
2006.2,821.97,335.08
2006.29,756.04,347.1
2006.37,764.83,482.54
2006.45,806.94,487.85
2006.54,713.56,411.94
2006.62,560.78,574.89
2006.71,459.64,581.16
2006.79,493.23,502.06
2006.87,511,439.38
2006.96,525.09,379.08
2007.04,553,167.26
2007.12,554.41,192.01
2007.2,539.07,180.88
2007.29,572.07,276.22
2007.37,595.57,531.76
2007.45,588.49,323.3
2007.54,402.47,258.12
2007.62,187.15,352.29
2007.71,123.37,375.79
2007.79,165.13,197.94
2007.87,172.27,95.73
2007.96,225.21,114.11
2008.04,222.64,-114.03
2008.12,239.65,-59.76
2008.21,308.63,-42.86
2008.29,291.09,72.41
2008.37,224.06,55.08
2008.46,222.15,89.79
2008.54,76.38,-190.35
2008.62,-79.26,-234.85
2008.71,-98.79,4.4
2008.79,-104.46,5.44
2008.87,-33.26,54.43
2008.96,-0.64,-18.83
2009.04,53.99,-114.48
2009.12,67.25,-67.51
2009.2,4.28,-16.88
2009.29,-19.28,-2.92
2009.37,-6.57,2.72
2009.46,55.73,-16.84
2009.54,-17.52,-23.45
2009.62,-190.2,-30.95
2009.71,-322.11,-37.72
2009.79,-306.62,-43.66
2009.87,-308.94,-74.95
2009.96,-198.67,-58.87
2010.04,-242.49,-308.32
2010.12,-247.56,-144.55
2010.2,-207.89,-99.46
2010.29,-238.37,-161.34
2010.37,-210.75,-207.92
2010.45,-266.04,-310.03
2010.54,-476.04,-556.86
2010.62,-683.74,-458.46
2010.71,-818.78,-352.28
2010.79,-766.25,-436.11
2010.87,-763.72,-430.87
2010.96,-717.83,-287.4
2011.13,-733.29,-516.25
2011.2,-702.67,-546.53
2011.29,-688.35,-601.67
2011.37,-685.31,-503.56
2011.55,-922.12,-569.77
2011.62,-1102.54,-494.07
2011.71,-1169.35,-371.17
2011.79,-1136.17,-460.04
2011.83,-1202.49,-154.55
2012,-1185.68,-452.2
2012.04,-1177.29,-550.2
2012.12,-1144.9,-587.79
2012.21,-1067.83,-525.47
2012.27,-1027.98,-571.73
2012.46,-1106.6,-556.78
2012.54,-1328.83,-710.84
2012.62,-1600.71,-503.54
2012.7,-1687.68,-293.29
2012.89,-1657.63,-386.15
2012.96,-1636.74,-542.45
2013.04,-1617.52,-764.15
2013.12,-1576.41,-858.67
2013.3,-1610.05,-645.84
2013.37,-1583.06,-522
2013.46,-1550.38,-542.6
2013.54,-1666.54,-650.2
2013.79,-1766.82,-669.63
2013.87,-1715.27,-785.21
2013.96,-1724.47,-726.3
2014.02,-1697.13,-1006.79
2014.21,-1677.03,-1127.43
2014.29,-1668.19,-908.13
2014.37,-1646.49,-787.54
2014.45,-1672.08,-1021.7
2014.62,-1985.59,-1067.84
2014.71,-2024.82,-780.87
2014.79,-1973.96,-904.38
2014.88,-1911.78,-1009.8
