ds,y
29/03/1958,316.19
05/04/1958,317.31
12/04/1958,317.69
19/04/1958,317.58
26/04/1958,316.48
03/05/1958,316.95
17/05/1958,317.56
24/05/1958,317.99
05/07/1958,315.85
12/07/1958,315.85
19/07/1958,315.46
26/07/1958,315.59
02/08/1958,315.64
09/08/1958,315.1
16/08/1958,315.09
30/08/1958,314.14
06/09/1958,313.54
08/11/1958,313.05
15/11/1958,313.26
22/11/1958,313.57
29/11/1958,314.01
06/12/1958,314.56
13/12/1958,314.41
20/12/1958,314.77
27/12/1958,315.21
03/01/1959,315.24
10/01/1959,315.5
17/01/1959,315.69
24/01/1959,315.86
31/01/1959,315.42
14/02/1959,316.94
21/02/1959,316.61
28/02/1959,316.62
07/03/1959,316.81
21/03/1959,316.73
28/03/1959,316.71
04/04/1959,317.72
11/04/1959,317.12
18/04/1959,317.64
25/04/1959,318.32
02/05/1959,318.27
09/05/1959,318.78
16/05/1959,318.05
23/05/1959,318.43
06/06/1959,318.53
13/06/1959,318.14
20/06/1959,317.88
27/06/1959,317.76
04/07/1959,316.86
11/07/1959,316.83
18/07/1959,316.45
25/07/1959,316.16
01/08/1959,315.62
08/08/1959,314.91
22/08/1959,315
29/08/1959,314.15
05/09/1959,314.45
12/09/1959,313.93
19/09/1959,313.57
26/09/1959,313.54
03/10/1959,313.04
10/10/1959,313.15
17/10/1959,313.43
24/10/1959,313.46
31/10/1959,314.12
07/11/1959,314.42
14/11/1959,314.88
21/11/1959,315.2
28/11/1959,315.11
05/12/1959,315.06
12/12/1959,315.64
19/12/1959,315.86
26/12/1959,315.77
02/01/1960,315.72
09/01/1960,316.4
16/01/1960,316.73
23/01/1960,316.57
30/01/1960,316.68
06/02/1960,316.61
13/02/1960,316.98
20/02/1960,317.42
27/02/1960,317
05/03/1960,316.96
12/03/1960,317.76
19/03/1960,318.07
26/03/1960,317.77
02/04/1960,318.61
09/04/1960,319.34
16/04/1960,319.01
23/04/1960,319.03
30/04/1960,319.77
07/05/1960,319.96
14/05/1960,319.82
21/05/1960,320.04
28/05/1960,320.06
04/06/1960,319.46
11/06/1960,320.08
18/06/1960,319.42
25/06/1960,319.09
02/07/1960,318.18
09/07/1960,318.64
16/07/1960,318.41
23/07/1960,317.91
30/07/1960,317.33
06/08/1960,316.62
13/08/1960,316.7
20/08/1960,315.1
27/08/1960,314.78
03/09/1960,314.72
10/09/1960,314.58
17/09/1960,314.28
24/09/1960,313.33
01/10/1960,313.66
08/10/1960,313.32
15/10/1960,313.92
22/10/1960,314.21
29/10/1960,314.29
05/11/1960,314.5
12/11/1960,315.1
19/11/1960,315.1
26/11/1960,315.41
03/12/1960,315.84
10/12/1960,316.07
17/12/1960,316.21
24/12/1960,316.4
31/12/1960,316.67
07/01/1961,316.73
14/01/1961,317.02
21/01/1961,317.03
28/01/1961,317.01
04/02/1961,317.06
11/02/1961,317.75
18/02/1961,317.94
25/02/1961,318
04/03/1961,318.04
11/03/1961,318.51
18/03/1961,318.92
25/03/1961,318.71
01/04/1961,319.41
08/04/1961,319.55
15/04/1961,318.9
22/04/1961,319.74
29/04/1961,319.67
06/05/1961,320.67
13/05/1961,320.46
20/05/1961,320.61
27/05/1961,320.36
03/06/1961,320.09
10/06/1961,320.02
17/06/1961,319.62
24/06/1961,319.49
01/07/1961,319.26
08/07/1961,319.07
15/07/1961,318.49
22/07/1961,317.16
29/07/1961,317.97
05/08/1961,317.91
12/08/1961,317.33
19/08/1961,316.76
26/08/1961,315.26
02/09/1961,315.28
09/09/1961,314.97
16/09/1961,314.53
23/09/1961,315.06
30/09/1961,315.61
07/10/1961,314.97
14/10/1961,315.43
21/10/1961,315.48
28/10/1961,315.72
04/11/1961,315.82
11/11/1961,315.7
18/11/1961,316.21
25/11/1961,316.55
