Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,RAR,Test,Dol,Dol (no $)
1922,Pirates,1634,6148,52,865,777,145,6.90%,5.30%,0.111,0.32,0.308,0.36,0.419,0.361,100,17.9,18.7,-16.9,21.9,229.1,221.77473, ,
1918,Robins,1260,4578,10,360,303,113,4.60%,7.10%,0.065,0.269,0.25,0.291,0.315,0.297,82,0.4,-83.5,-2.5,5.8,47.9,-15.59895, ,
1922,Robins,1725,5954,56,741,674,79,5.70%,5.30%,0.103,0.3,0.29,0.335,0.392,0.337,86,2.7,-111,12.1,11.6,121.2,-702.74536, ,
1926,Indians,1662,6001,27,738,643,88,7.50%,5.30%,0.097,0.304,0.289,0.349,0.386,0.346,90,-2.9,-80.5,72.8,21.1,211.5,179.69462, ,
1929,Pirates,1738,6198,60,903,828,94,8.10%,5.40%,0.127,0.315,0.303,0.364,0.43,0.364,95,16.3,-26.1,41.8,21.2,230.3,231.4681, ,
1921,Reds,1601,5727,20,618,560,117,6.50%,5.40%,0.092,0.293,0.278,0.333,0.37,0.328,90,-12.8,-87.7,26.6,13.4,138.4,100.8679, ,
1922,Indians,1787,6089,32,767,698,90,9.00%,5.50%,0.106,0.307,0.292,0.364,0.398,0.357,99,7,-0.5,-2.6,18.8,195.5,177.81466, ,
1926,Reds,1761,6046,35,747,692,51,7.50%,5.50%,0.11,0.304,0.29,0.349,0.4,0.351,105,7.4,42,82.3,30.5,306.8,152.668, ,
1920,Browns,1608,6028,50,797,707,121,7.10%,5.60%,0.111,0.322,0.308,0.363,0.419,0.368,103,11.9,36.1,25.3,27.4,261.5,153.77473, ,
1925,Reds,1722,5833,44,690,622,108,7.00%,5.60%,0.102,0.297,0.285,0.339,0.386,0.337,88,-14,-109.2,96.6,18.5,195,131.69462, ,
1933,Pirates,1706,5961,39,667,618,34,6.10%,5.60%,0.098,0.298,0.285,0.333,0.384,0.333,103,5.7,24.8,35.4,24.2,236.9,113.84128, ,
1924,Reds,1708,5835,36,649,586,103,6.00%,5.70%,0.107,0.305,0.29,0.337,0.397,0.342,100,-7.7,-8.9,53.9,23.4,237.5,62.38799, ,
1928,Reds,1716,5808,32,648,588,83,6.60%,5.70%,0.089,0.294,0.28,0.333,0.368,0.327,87,13.7,-85.2,58.4,15.4,156,136.01456, ,
1927,Reds,1688,5827,29,643,575,62,6.90%,5.70%,0.089,0.292,0.278,0.332,0.367,0.328,90,8.4,-64.9,57,17.7,179.6,133.58789, ,
1928,Pirates,1664,6037,52,837,768,64,7.20%,5.80%,0.112,0.324,0.309,0.364,0.421,0.363,102,9.5,24,35.9,24.7,249.8,188.62807, ,
1927,Pirates,1710,6077,54,817,759,65,7.20%,5.80%,0.107,0.32,0.305,0.361,0.412,0.36,103,8.5,34.9,48.2,27.3,278.5,191.78804, ,
1920,White Sox,1568,6030,37,794,695,109,7.90%,5.80%,0.107,0.311,0.295,0.357,0.402,0.358,101,3,11,32.9,25.5,244,194.52134, ,
1921,Tigers,1696,6291,58,885,793,95,9.20%,5.90%,0.118,0.331,0.316,0.385,0.434,0.379,110,1,87.9,-31.3,26.3,273.2,203.17478, ,
1926,Pirates,1800,5969,44,769,707,91,7.30%,5.90%,0.111,0.299,0.285,0.343,0.396,0.345,94,15.5,-29.7,55.3,20.5,205.8,184.96132, ,
1924,Browns,1766,5907,67,765,679,85,7.80%,5.90%,0.113,0.306,0.295,0.356,0.408,0.357,91,-4.7,-76.7,21.4,15.1,153.7,150.08136, ,
1929,Indians,1695,5873,62,717,682,75,7.60%,5.90%,0.122,0.305,0.293,0.352,0.415,0.352,93,-26.7,-83.1,21.6,14.6,160.6,84.06805, ,
1929,Reds,1740,5881,34,686,618,134,7.00%,5.90%,0.098,0.295,0.281,0.336,0.379,0.33,81,24.6,-142.4,65.2,11.9,126.3,145.70793, ,
1921,Red Sox,1621,5840,17,666,589,83,7.30%,5.90%,0.084,0.293,0.276,0.334,0.36,0.325,80,4.9,-158,59.5,10.1,102.6,174.6012, ,
1926,Braves,1711,5870,16,624,560,81,7.30%,5.90%,0.073,0.294,0.277,0.335,0.35,0.325,90,13.5,-62.5,-11.5,10.2,103.2,158.3345, ,
1921,Indians,1758,6264,42,925,847,51,9.90%,6.00%,0.123,0.326,0.308,0.383,0.432,0.378,107,11.4,68.7,10.8,28.6,295.1,248.32144, ,
1925,Pirates,1676,6036,78,912,820,159,8.30%,6.00%,0.141,0.319,0.307,0.369,0.449,0.375,106,17.4,68.2,60.1,32,343.1,191.57483, ,
1926,Senators,1792,6009,43,802,721,117,9.20%,6.00%,0.109,0.308,0.292,0.364,0.401,0.36,102,-17.6,-1.4,10.5,22.7,228.7,205.09467, ,
1924,Indians,1779,6026,41,756,682,85,8.10%,6.00%,0.104,0.314,0.298,0.362,0.402,0.359,96,8,-27,-3.3,17.9,182.9,156.52134, ,
