Row,d18O_GRIP,age_GRIP,d18O_GISP,age_GISP
1,-34.93,10003.7,-33.4,10000
2,-34.95,10010.1,-33.3,10030
3,-34.45,10016.35,-33.3,10060
4,-35.16,10022.65,-33.6,10084
5,-35.2,10029.15,-33.4,10113
6,-35.33,10035.7,-33.7,10138
7,-36.02,10042.55,-33.9,10163
8,-34.98,10049.3,-33.6,10188
9,-34.73,10055.65,-34.3,10212
10,-35.07,10062,-33.9,10239
11,-34.15,10068.25,-34.3,10270
12,-35.65,10074.7,-34,10300
13,-34.55,10081.25,-34.7,10337
14,-35.02,10087.6,-34.8,10362
15,-35.69,10094.25,-34.6,10387
16,-35.38,10101,-34.7,10413
17,-34.57,10107.45,-33.7,10444
18,-35.73,10114.05,-34.1,10472
19,-35.67,10120.9,-34.7,10496
20,-35.66,10127.75,-34.1,10524
21,-35.62,10134.6,-34.5,10549
22,-35.26,10141.3,-34,10575
23,-35.58,10148,-34.4,10604
24,-35.96,10154.95,-33.4,10638
25,-36.02,10162.05,-33.6,10663
26,-36.01,10169.15,-33.4,10691
27,-35.06,10175.95,-33.6,10721
28,-35.99,10182.75,-33.8,10750
29,-35.33,10189.65,-33.6,10773
30,-35.52,10196.4,-34,10799
31,-35.47,10203.15,-34.6,10829
32,-35.07,10209.8,-34.8,10856
33,-35.47,10216.5,-35,10887
34,-35.85,10223.4,-34.8,10913
35,-36.14,10230.5,-35,10938
36,-34.75,10237.35,-34.7,10966
37,-34.52,10243.75,-34.4,10992
38,-35.14,10250.2,-34.2,11021
39,-36.28,10257.2,-35.1,11047
40,-36.15,10264.5,-34.3,11079
41,-36.92,10272.05,-34,11100
42,-36.08,10279.65,-34.1,11123
43,-36.26,10286.95,-33.8,11148
44,-36.41,10294.35,-34.1,11174
45,-35.8,10301.6,-33.4,11206
46,-35.33,10308.5,-33.7,11237
47,-35.36,10315.3,-33.8,11270
48,-34.96,10321.95,-34.1,11299
49,-35.29,10328.6,-33.4,11318
50,-35.55,10335.45,-33.7,11338
51,-34.99,10342.2,-33.9,11364
52,-35.77,10349.05,-33.9,11392
53,-34.56,10355.8,-33.8,11418
54,-35.09,10362.3,-33.8,11440
55,-35.55,10369.1,-33.9,11463
56,-34.52,10375.8,-34.3,11486
57,-36.51,10382.8,-33.6,11509
58,-35.29,10390,-34.1,11536
59,-35.26,10396.8,-34.1,11570
60,-36.57,10404.05,-34.1,11590
61,-35.3,10411.3,-33.5,11608
62,-36.35,10418.45,-33.6,11628
63,-35.13,10425.55,-34.3,11648
64,-35.71,10432.45,-34,11675
65,-35.55,10439.5,-34.1,11704
66,-37.16,10447.1,-33.7,11734
67,-35.84,10454.8,-33.7,11763
68,-35.93,10462,-34.5,11793
69,-36.41,10469.4,-34.2,11826
70,-35.25,10476.6,-34.7,11860
71,-35.77,10483.6,-34.3,11895
72,-34.78,10490.5,-34.3,11932
73,-35.52,10497.3,-35.2,11973
74,-35.68,10504.35,-34.7,12007
75,-35.58,10511.4,-35.2,12037
76,-35.59,10518.45,-34.6,12067
77,-36.39,10525.8,-34,12100
78,-35.99,10533.25,-34.1,12134
79,-35.56,10540.45,-34.5,12159
80,-35.8,10547.6,-35.1,12183
81,-35.7,10554.75,-35,12208
82,-36.55,10562.2,-34.6,12235
83,-36.29,10569.9,-34.5,12262
84,-35.43,10577.15,-35.1,12290
85,-34.43,10583.85,-35.2,12318
86,-37.02,10591.25,-35.4,12346
87,-35.77,10599,-35.2,12372
88,-36.48,10606.45,-35.6,12397
89,-36.1,10614.05,-36.5,12422
90,-36.62,10621.75,-35.6,12446
91,-35.67,10629.25,-35.7,12470
92,-36.29,10636.65,-36.3,12493
93,-35.63,10644.05,-36.2,12520
94,-35.51,10651.15,-35.7,12557
95,-35.25,10658.15,-35.5,12593
96,-36.36,10665.45,-35.5,12626
97,-36.7,10673.3,-35.2,12681
98,-35.96,10681,-35.2,12746
99,-35.85,10688.4,-35.2,12838
100,-36.74,10696.1,-35.9,12896
101,-35.23,10703.55,-35.7,12936
102,-37.19,10711.25,-36.6,12974
103,-37.85,10720.15,-36.6,13012
104,-36.08,10728.55,-36.2,13049
105,-36.78,10736.35,-36.5,13081
106,-36.55,10744.35,-36.6,13109
107,-36.45,10752.2,-36.7,13151
108,-36.34,10759.95,-36.4,13192
109,-37.16,10768.05,-36.6,13234
110,-36.32,10776.2,-37,13277
111,-35.95,10783.8,-36.6,13325
112,-35.99,10791.25,-36.9,13369
113,-36.6,10799,-37.1,13421
114,-36.99,10807.2,-36.9,13475
115,-35.98,10815.15,-36.7,13528
116,-36.56,10822.85,-37.1,13574
117,-36.55,10830.8,-36.4,13627
118,-36.98,10838.95,-36.5,13679
119,-36.35,10847,-35.7,13719
120,-36.58,10854.9,-35.7,13756
121,-36.53,10862.9,-35.9,13796
122,-37.42,10871.3,-36.9,13837
123,-35.58,10879.35,-37.3,13881
124,-35.61,10886.65,-37.1,13925
125,-35.96,10894.05,-36.9,13965
126,-36.74,10901.9,-37.1,14000
127,-36.21,10909.9,-36.2,14041
128,-35.71,10917.45,-35.5,14084
129,-36.78,10925.25,-35.1,14122
130,-35.78,10933.1,-35.9,14159
131,-36.72,10940.9,-36,14201
132,-36.32,10948.9,-36.2,14243
133,-35.9,10956.6,-36,14286
134,-36.42,10964.35,-36,14326
135,-37.74,10972.95,-36.1,14360
136,-36.84,10981.75,-35.9,14396
137,-37.01,10990.15,-36.7,14430
138,-37.22,10998.8,-36.2,14468
