Timestamp,Do you understand the instructions and wish to participate in the survey?,1. How often do you exercise?,2. How does exercise impact your stress levels?,"3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise (running, hiking, or biking alone)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise in a group setting (going to the gym, yoga classes)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Individual exercise within a small group (running group, biking group)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Team sport (basketball, football, softball)]","3. How many times, in an average month, do you perform each of the following types of exercise: [Other (please elaborate in the next question)]","3*. If you answered more than 0 for ""Other"" above, please elaborate about the type of exercise in nature.","4. If you perform any exercise in a group, how often do you spend time socially with members of the group?","5. If you perform any exercise in a group, how does the social aspect of your exercise (interactions with teammates) contribute to your overall stress?","6. In the last month, how often have you felt that you were unable to control the important things in your life?","7. In the last month, how often have you felt confident about your ability to handle your personal problems?","8. In the last month, how often have you felt that things were going your way?","9. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",10. How old are you?,11. What is your sex?,Coding,Value,Exercise Frequency,Individial Exercise,Group Exercise,Total Exercise,Exercise - Stress,Group Social,Social Stress,PSS
2/28/2016 17:49:24,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,1,4,0,0,0,,,,Sometimes,Fairly often,Sometimes,Almost never,23,Female,Rarely (less than once a month),1,3,5,0,5,1,#N/A,#N/A,6
2/28/2016 18:22:09,Yes,Often (three to four times a week),Exercise is overall neutral to my stress,5,0,0,2,5,Walking around SF if that counts,,,Almost never,Fairly often,Sometimes,Sometimes,19,Male,Not often (more than once a month but less than once a week),2,4,10,2,12,0,#N/A,#N/A,6
2/28/2016 19:05:15,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,2,0,0,0,,,,Fairly often,Fairly often,Fairly often,Sometimes,19,Female,Weekly (once or twice a week),3,3,7,0,7,1,#N/A,#N/A,7
2/28/2016 19:13:22,Yes,Not often (more than once a month but less than once a week),Exercise is overall neutral to my stress,1,0,0,0,0,,Weekly (once or twice a week),The social aspect of my exercise somewhat eases my stress,Very often,Almost never,Sometimes,Fairly often,20,Female,Often (three to four times a week),4,2,1,0,1,0,3,1,12
2/28/2016 21:50:50,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,0,0,0,0,Hiking ,,,Almost never,Fairly often,Fairly often,Almost never,19,Male,Very often (five or more times a week),5,3,5,0,5,1,#N/A,#N/A,4
2/28/2016 23:24:15,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,3,0,0,0,0,,,,Never,Fairly often,Fairly often,Never,20,Male,,,3,3,0,3,1,#N/A,#N/A,2
2/29/2016 8:20:27,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,5,0,2,5,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise overall neutral to my stress,Almost never,Fairly often,Fairly often,Almost never,31,Male,Exercise very much adds to my stress,-2,5,5,7,12,1,2,0,4
2/29/2016 8:21:51,Yes,Very often (five or more times a week),Exercise somewhat eases my stress,5,0,5,0,0,,Often (three to four times a week),The social aspect of my exercise overall neutral to my stress,Almost never,Very often,Very often,Never,62,Male,Exercise somewhat adds to my stress,-1,5,5,5,10,1,4,0,1
2/29/2016 8:23:27,Yes,Weekly (once or twice a week),Exercise somewhat eases my stress,5,0,0,0,0,,,,Fairly often,Fairly often,Sometimes,Almost never,26,Male,Exercise is overall neutral to my stress,0,3,5,0,5,1,#N/A,#N/A,7
2/29/2016 8:25:08,Yes,Weekly (once or twice a week),Exercise very much eases my stress,5,3,0,0,0,,Not often (more than once a month but less than once a week),The social aspect of my exercise somewhat adds to my stress,Very often,Very often,Fairly often,Fairly often,19,Female,Exercise somewhat eases my stress,1,3,8,0,8,2,2,-1,8
