The End of Average,Cognitive Process,Closing Program,Basic Understanding,Todd Roseæ,"Are you above average? Is your child an A student? Every day we are measured against averages, and weÍre judged on how far from them we fall. Indeed, measuring ourselves against the average is so ingrained in our consciousness that we donÍt even question it. But what if thatÍs not the best way to judge success and failure? In Todd RoseÍs new book ñThe End of Average,î he demonstrates that no one is average. And that, he argues, has enormous practical consequences. While we know people learn in distinctive ways, schools and businesses have been designed around the so-called ñaverage person.î This model ignores our differences and fails at recognizing talent. ItÍs time to change it.",,,
"Learning as a Lifestyle: Passion, People, Purpose",Educational Equality,Closing Program,Basic Understanding,Connie Yowellæ,"LRNG is tackling the nationÍs opportunity gap by starting where youth are, enabling young people to pursue their passions, connect with peers and mentors and find fulfilling 21st century opportunities and jobs. CEO Connie Yowell will discuss how LRNG is building an ecosystem of learning that combines in-school, out-of-school, employer-based and online learning experiences into a seamless network that is open and inviting to all youth. Through the LRNG platform and digital badges, LRNG is opening paths to higher education and employment. Learn how cities, businesses, nonprofits and schools can join the movement to ensure all young people can develop their full potential in the connected age.",education,equality,EdTech
Rethinking High School„Activating Innovation,Educational Equality,Closing Program,Basic Understanding,Russlynn Aliæ,"The American public high school was invented more than a century ago, and it has remained frozen in time. As the modern world has moved on, our students are falling further and further behind. The answer? Reimagine high school itself. Russlynn Ali, former Assistant Secretary, Office of Civil Rights at the Department of Education, will share lessons from a movement doing exactly that. What happens when the inventors of the next American high school include the actual stakeholders: students, teachers, community leaders and beyond?",Rethink Education,High School,Innovation
How Mastery-Based Learning Changes the Game,Assessment,Core Conversation,Basic Understanding,"Joy Nolan, Jeremy Krausharæ","New York City is home to a remarkable array of schools practicing competency-based (aka mastery-based) education (CBE). Members of the NYC-based Mastery Collaborative will discuss shortcomings inherent in traditional 0-100/A-F grading. We will offer details and resources from several distinct CBE models now in use with diverse students across the city, and will discuss how CBE levels the playing field via better alignment/continuity across grade levels, greater transparency, deepened shared understanding, increased student agency and metacognition.",competency-based education,mastery-based education,equity and access
Students as Global Entrepreneurs Thru 3 Big Pivots,Cognitive Process,Core Conversation,Basic Understanding,Homa Tavangaræ,"As follow-up to best-selling World Class Learners, a team of diverse educators collaborated to take this idea to implementation, exploring a radical approach: students as global entrepreneurs. Instead of imposing a just-in-case, preparing-for-employment mindset, our research confirms we should cultivate creative, entrepreneurial thinkers and learners that are ALERT to possibilities. This calls for three key elements: student-driven learning that nurtures curiosity, strengths and passions, product-driven learning that solves real challenges for authentic audiences and school as a global classroom where learning is expansive, responsive and collaborative. Join us to explore how to create these shifts.",student centered learning,project based learning,global education
What the Pell? New Data on Pell Grad Rates,Data Analytics,Core Conversation,Basic Understanding,"Andrew Nichols, Lynn Jenningsæ","For the first time ever, data on the college completion outcomes for students who receive a Pell Grant have been compiled for roughly 1,200 institutions across the United States.This groundbreaking report presents hard-edge data on why improving college outcomes for low-income students is critically important for our nationÍs health and economic mobility. Researchers from The Education Trust will present the data, including case studies of specific institutions and recommend policy changes that can help improve outcomes for low-income students.",education policy,college graduation,low-income students
"A ""Car-Talk"" for the Ed Sector",Educational Equality,Core Conversation,Basic Understanding,"Dennis  Littky, Elliot Washoræ","Through knowledge, humor and a little spice, Tom and Ray MagliozziÍs Car Talk defined the genre of making a less than comfortable topic approachable. Elliot Washor and Dennis Littky are ready to do the same for education. Washor and Littky, founders of Big Picture Learning, have never minced words about their vision for a more perfect, student-centered, public education system. Pick this podcast-esque discussion about what ails education and why the future is bright.",personalized learning,student voice,
Unsanctioned Professional Development,Entrepreneurialism,Core Conversation,Basic Understanding,"Josh Timlin, Michael Klebaæ","Lots of professional development turns teachers off: itÍs boring, management-centered and transactional. It's ""paint by numbers"" learning, where teachers attend most seminars and meetings because they are required. The problem? Teachers, fatigued by ""proving"" they are learning, lose interest in their own professional development. But most teachers actually want to learn and grow as professionals. Educators must also evolve to hone their craft in this ever-changing landscape, but how? Join two teachers discussing UPD, a tool kit of techniques that puts teacher curiosity at the center of a teacher's growth. UPD helps equip (energize) teachers to learn what they want, how they want.",hacked pd,mindset,professional development
Building a Personalized Learning Teacher,Implementation,Core Conversation,Field Experience,"Amy Pillizzi, Jean Garrity, Jennifer Poonæ","As schools adopt competency-based, personalized or student-centered learning models that are more responsive to the needs of every child, teachers must interact in new ways with students, peers and the broader community. Yet most educator development systems donÍt explicitly address the unique mindsets and skills that these teachers need. In this interactive session, explore issues, share ideas and learn about recent work to define these educator competencies in ways that system leaders can act upon. Learn what steps some state leaders are already taking.",competency-based education,personalized learning,teachers 
Let's Talk: The Good & Bad of Digital Citizenship,Implementation,Core Conversation,Basic Understanding,"Belinha De Abreu, Kat Stewartæ","We propose to work on a collaborative and working document dealing with the premise/question: Digital Citizenship: Are Adults Making it Better or Worse? As a group, we will work together discussing the issues facing teachers, parents, administrators and policy makers on the topic of digital citizenship and its impact in and out of schools. The issue facing all of us, but in particular our students, is that how we should act and behave on digital platforms is not always clear. In this session, we hope to dig deeper into the topic of digital citizenship by working on the questions faced by all across districts and schools in a global society.  Ultimately, we hope to elevate the conversation.",digital citizenship,media literacy,privacy
Augmented Reality: Engaging a Minecraft Generation,Instructional Strategies,Core Conversation,Basic Understanding,"Drew Minock, Brad  Waidæ","Why will kids sit for hours immersed in a Minecraft world, but have trouble staying engaged during class? As a group, we will discuss how new augmented reality tools give educators and students the power to: create meaningful learning experiences that combine the digital and physical worlds, build interactive experiences to show and share knowledge with a global audience, understand complex concepts and retain information longer. Together we will address how we can take existing curriculums, and enhance them to appeal to the Minecraft Generation. ",augmented reality,innovation ,mobile learning 
The Promise and Peril of Technology Disruption,Instructional Strategies,Core Conversation,Basic Understanding,James Whittakeræ,"Children entering school today have life expectancies decades longer than our own. They face unprecedented social, environmental, economic and technological challenges. They will be performing jobs whose titles have not yet been invented and pursue careers in fields that do not now exist. The skills they will need we do not possess and yet we will prepare them for all this anyway.Join distinguished engineer and futurist James Whittaker as he dives deep into the future that our children are facing. From the leading edge of the IoT, holograms and 3D printing to the future of quantum computing and hyper-intelligent machines, predictions will be made and possibilities will be discussed.",teaching & learning,future trend mapping,technology
Social Media: Legal Pitfalls and Best Practices,Leadership,Core Conversation,Field Experience,"Diana Benner, Lena Engelæ","Social media is here to stay but knowing how it can impact your district is critical. Join an attorney and an educator for a candid conversation surrounding the top legal pitfalls of social media for school districts as well as best practices for implementing social media in your district. Topics such as managing the use of social media through district-owned technology resources, implementing social media and developing policies regarding its use, and responding legally to student and employee use of social media off campus will be discussed.",social media law,social media education,
What if Everyone Wanted to be a Teacher?,Leadership,Core Conversation,Basic Understanding,David Rosenbergæ,"What if teaching were the most attractive, compelling profession in the nation? For all our progress in education reform, we have failed to make teaching a fundamentally more appealing profession. Teacher pipelines are shrinking. Attrition, including among top teachers, is rising and student need continues to grow. Using real teacher data, this session will explore the costs of failing to retain top teachers, how we can pre-empt their departure and how system leaders can forge a path toward becoming ""employers of choice"" for great teachers. We have the potential to make teaching the most attractive, compelling profession in the nation. For our students, we must. Will we succeed?",equity,teacher burnout,teacher perceptions
"Co-Design: Campus, Interrupted",Learning Spaces,Core Conversation,Basic Understanding,"Bree Trevena, Alexandra Lawloræ","Collaborative design and operation of education spaces can open unexpected doors to intuitive, connected and resilient learning. They can also be a tough sell in a climate of shrinking resources and growing need. This conversation navigates the tensions and possibilities of going a step beyond inviting students, academics, campus professionals and community members to a take seat at the table and instead offers to let them set it. Speakers will take participants through case studies of artists embedded in STEM research hubs, aboriginal communities sitting down with campus architects and exactly what happens when you ask the community to set a university's strategic direction.",co-creation,placemaking,engagement strategy
Failing Sucessfully in a School: True Confessions,Learning Spaces,Core Conversation,Basic Understanding,"Ariel Dochstader Miller, Nishi Andraæ","Many are talking about the value of failure in education, but it is rarely discussed in terms of implementation in school environments. In this session, we will explore the necessary ingredients that allow failure to be an invaluable learning experience. A school director and student will present their points of view about what embracing failure means and what it actually looks like on the ground to have academic vitality and the celebration of failure go hand in hand. The audience will be encouraged to share their own stories and we will outline strategies to fail successfully in schools together.",failing,school culture ,change management
From Library to Innovation and Design Center,Learning Spaces,Core Conversation,Basic Understanding,"Linda Conway, Marci Miliusæ",In Douglas County Schools there is a ground swell of transformations going on. Join us in a conversation about how we transformed our district level library into an Innovation and Design Center and expanded our services. Learn how to get started and create a movement to shift environments and instructional practices. Discussions will also include how learning environments support new instructional practices. We will dissect some transformation projects so that you develop ideas to transform your spaces to support your modern learners. This conversation will help you create a plan and a vision for design to better accommodate the needs of learners.,transformation,environment ,library of the future
On-Tech and On-Task,Special Needs,Core Conversation,Field Experience,"Allison Bruhn, Ted Hasselbringæ","Self-monitoring is a time-tested intervention for many students with behavior problems. However, self-monitoring via technology has not evolved in classrooms as it has in public health medicine. We will discuss several studies that show how middle school students with reading and behavioral problems used technology-based self-monitoring to improve behavior and academic skills„and how technology can improve existing self-monitoring methods to increase students' academic engagement.",intervention,behavior,technology
Top-Notch Teaching for Struggling Kids,Special Needs,Core Conversation,Basic Understanding,"Rachel Brody, Ben Powersæ","What are the best teaching methods to help students with learning and attention issues? How can teachers help more children reach their potential? 1 in 5 kids in the U.S. have learning and attention issues„and many of these students will never be formally identified. Join Rachel Brody, managing director of Teach For AmericaÍs Diverse Learner Initiative, and Mark Griffin, founding headmaster of a leading private school for kids with learning disabilities, to get practical tips, proven strategies and changes in mindset that will help struggling learners succeed.",teacher training,professional development,learning and attention issues 
Innovation in Charters vs. Districts,Implementation,Debate,Basic Understanding,"Anthony Kim, Alex Hernandez, Julia Freelandæ","Boxing gloves are on and the bets are starting early.  Join us for a fun-spirited debate around innovation and scale in charters vs. districts. Adoption of personalized learning with technology has begun to take off. While charters were early adopters, districts are now starting to transform at scale.  Alex Hernandez and Anthony Kim will debate who will rule supreme in the race to innovate in charter schools and school districts. Moderated by Julia Freeland, we expect a bare knuckle bar brawl. Audience makes the call: who will win and why.",edtech,business model,blended learning
Two Perspectives on Personalized Learning,Instructional Strategies,Debate,Basic Understanding,"Gates Bryant, Emily Lammers, Sparky Zivinæ","Hosted by the Bill and Melinda Gates Foundation: Personalized learning at scale has potential to transform higher education, yet the postsecondary community is divided on what personalized learning means and how best to meet the needs of all students. Two consulting and advisory firms have been engaged by the Bill & Melinda Gates Foundation to investigate personalized learning and institutional implementation strategies. This session will feature an introduction to the personalized learning research of the Brunswick Group and Tyton Partners, followed by a facilitated discussion highlighting what personalized learning means to different postsecondary populations and sharing strategies for maximizing its impact in higher education.",personalized learning,student success,higher education market
Evolve or Die: Why Education Has to Change,Continuing Education,Featured,Field Experience,Jim Detersæ,"The landscape of higher education is quickly changing in the United States. The concept that a four-year degree guarantees a lifetime of success has been proven to be unrealistic in todayÍs job market. How do learners gain the skills and access necessary to be a part of the technology sector? What does education need to look like to keep up with market demands? What will happen to universities if they donÍt evolve? In this presentation, Jim Deters, CEO and co-founder of Galvanize, will explain the tectonic demographic shifts causing these changes, how education providers need to step up to meet market demands, and what modern education will look like in the coming decades.",galvanize,higher education,evolve
"Education, Development and Peace in Afghanistan",Educational Equality,Featured,Basic Understanding,Sakena Yacoobiæ,"Laureate of the 2015 WISE Prize for Education, Dr. Sakena Yacoobi will share her inspirational experience in rebuilding AfghanistanÍs educational landscape in the past two decades. Blending storytelling and lessons learned, Dr. Yacoobi will unveil a fascinating and challenging life story, which echoes that of her country and people. From working in refugee camps in Pakistan to supporting underground schools during the Taliban regime until today, Dr. YacoobiÍs groundbreaking and visionary approach has empowered 12 million Afghans through education.",girls,education,CPE Credit
Igniting a Practice Revolution,Educational Equality,Featured,Basic Understanding,"Damon A Williams, David Coleman, Sal Khan, Barbara Jenkinsæ","As with any endeavor a student pursues„chess, violin or skateboarding„the key to success on the SAT is dedicated practice. At SXSWedu 2014, the College Board announced plans for a new SAT, including an unprecedented partnership with Khan Academy to offer a free, personalized practice platform. Today, every student with access to the internet has access to world-class tools for focused and productive SAT practice. This has dramatic implications for equity in our world. Join panelists as they discuss how they teamed up to ignite a practice revolution that empowers students with the skills to do their best on the SAT, in college and beyond.",college prep,online learning,CPE Credit
BORN TO LEAD: Unleashing Your Inner Entrepreneur,Entrepreneurialism,Featured,,Ari Horieæ,"If you had the chance to change the world, what would you do? Recognized as one of CNNÍs 10 Visionary Women in 2014, Ari Horie, Founder and CEO of Women's Startup Lab (WSLab) shares how finding your passion and unleashing your inner entrepreneur leads to unwavering leadership. We achieve great things in the pursuit of passion. Positively impact the lives of others and awaken your inner entrepreneur, because we are all born to lead!",leadership,entrepreneurship,education
Silicon Valley + Education = Real Change?,Entrepreneurialism,Featured,Basic Understanding,Max Ventillaæ,"Why does Silicon Valley think it can impact education? With over $1.6 billion invested in EdTech companies in the first half of 2015 alone, leading technologists and venture capitalists are placing a big bet on education. Max Ventilla, Founder/CEO of AltSchool, will discuss applying a startup mindset to schools, empowering educators to become 21st century knowledge workers, bringing entrepreneurism into the classroom and using technology thatÍs not screen time. ",entrepreneurship in education,school models,redesigning schools
Can the Finnish Education Miracle be Replicated?,Implementation,Featured,Basic Understanding,"Saku Tuominen, Pasi Sahlbergæ","For over a decade the Finnish education system has been a destination for thousands of practitioners, researchers and politicians. They have visited Finnish schools to find out what makes Finland one of the best performing education nations in the world. In this session, panelists will explain the basics of FinlandÍs educational success, consider what others can learn from the Finns and introduce HundrED, an ambitious education project creating 100 scalable educational innovations and sharing them for free with the world.",finland,innovation,CPE Credit
