Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Objective Words,Count,Objective Bigrams,Count,Objective Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
students,1018,"('higher', 'education')",81,"('21st', 'century', 'skills')",13,learning,713,"('best', 'practices')",89,"('learning', 'attention', 'issues')",10,learning,379,"('higher', 'education')",63,"('teaching', '&', 'learning')",25,learning,2065,"('higher', 'education')",195,"('teaching', '&', 'learning')",25
learning,973,"('high', 'school')",53,"('high', 'school', 'students')",12,students,493,"('Participants', 'learn')",84,"('Participants', 'develop', 'understanding')",9,education,343,"('design', 'thinking')",43,"('student', 'centered', 'learning')",15,students,1527,"('best', 'practices')",132,"('21st', 'century', 'skills')",25
education,622,"('social', 'media')",49,"('Q', '&', 'A')",10,Learn,422,"('higher', 'education')",51,"('Participants', 'gain', 'understanding')",8,design,121,"('personalized', 'learning')",35,"('college', 'career', 'readiness')",13,education,1358,"('design', 'thinking')",114,"('college', 'career', 'readiness')",25
school,458,"('professional', 'development')",44,"('college', 'career', 'readiness')",9,education,393,"('Participants', 'able')",46,"('kids', 'learning', 'attention')",7,innovation,113,"('blended', 'learning')",30,"('project', 'based', 'learning')",9,school,729,"('social', 'media')",94,"('project', 'based', 'learning')",16
session,414,"('best', 'practices')",41,"('Science', 'Technology', 'Engineering')",8,Participants,387,"('Attendees', 'learn')",44,"('Learn', 'best', 'practices')",7,technology,101,"('&', 'learning')",25,"('learning', 'personalized', 'learning')",8,student,729,"('Participants', 'learn')",90,"('student', 'centered', 'learning')",16
student,395,"('learning', 'environments')",40,"('critical', 'thinking', 'skills')",7,learn,266,"('Participants', 'understand')",41,"('learning', 'Participants', 'learn')",7,edtech,92,"('teaching', '&')",25,"('ed', 'edtech', 'innovation')",8,technology,674,"('professional', 'development')",89,"('learning', 'attention', 'issues')",16
teachers,376,"('21st', 'century')",40,"('higher', 'education', 'institutions')",7,Understand,258,"('design', 'thinking')",31,"('Participants', 'able', 'describe')",6,#,91,"('professional', 'development')",22,"('higher', 'ed', 'edtech')",8,classroom,574,"('personalized', 'learning')",86,"('social', 'emotional', 'learning')",15
technology,350,"('design', 'thinking')",40,"('R', '&', 'D')",7,student,249,"('school', 'district')",29,"('21st', 'century', 'skills')",6,student,85,"('instructional', 'strategies')",20,"('data-driven', 'decision', 'making')",7,teachers,555,"('21st', 'century')",78,"('high', 'school', 'students')",12
more,325,"('teaching', 'learning')",38,"('Project', 'Based', 'Learning')",7,school,226,"('engage', 'students')",28,"('attending', 'panel', 'teachers')",6,leadership,73,"('technology', 'innovation')",19,"('learning', 'blended', 'learning')",7,learn,529,"('learning', 'environments')",74,"('Q', '&', 'A')",11
classroom,306,"('learning', 'experiences')",38,"('session', 'we', ""'ll"")",7,classroom,226,"('teaching', 'learning')",27,"('design', 'ready-to-use', 'elements')",5,digital,72,"('competency-based', 'education')",19,"('design', 'design', 'thinking')",7,design,511,"('blended', 'learning')",73,"('higher', 'education', 'institutions')",10
schools,297,"('session', 'explore')",37,"('liberal', 'arts', 'education')",7,technology,223,"('personalized', 'learning')",27,"('utilizing', 'those', 'innovative')",5,higher,71,"('social', 'media')",18,"('education', 'design', 'thinking')",6,Learn,506,"('high', 'school')",68,"('21st', 'century', 'learning')",10
educators,280,"('problem', 'solving')",34,"('share', 'lessons', 'learned')",7,schools,177,"('social', 'media')",27,"('practices', 'prepared', 'return')",5,stem,71,"('based', 'learning')",18,"('social', 'emotional', 'learning')",6,schools,489,"('teaching', 'learning')",65,"('share', 'best', 'practices')",10
