Digital Fabrication: Student Art Exhibits,Arts,Core Conversation,Basic Understanding,Josh Ajima (Loudoun County Public Schools),"What if a bunch of educators got together to share examples of digitally fabricated student art? What if those teachers collaborated to plan and execute student art exhibits that utilize technologies such as 3D printing, vinyl cutting, laser cutting, CNC, Scratch programs and physical computing devices? A combination of brainstorming session, art exhibit and collaborative art exhibitor planning meeting. Starter ideas include 3D printed Gumball Galleries, Interactive Art Synthesizers and vinyl graffiti art walls. Work together to create awesome opportunities for students to explore new media and technologies and express ideas involving art, history and culture.","Digital fabrication empowers students to express themselves, their history and culture through art.",Sharing of digital fabrication files empowers student collaboration on art exhibits for both local and global audiences. ,Student art featuring the medium of digital fabrication empowers students as connected members of technology rich communities.,art,digital fabrication,3d printing,,https://youtu.be/t9jEn73qrIQ,,
Empowering Student Literacy in the Digital Age,Arts,Core Conversation,Basic Understanding,"Grant  Faulkner (rogers & cowan / booktrack), jason hovey (Booktrack)","Today's students are constantly engaged with and distracted by technology. Trying to create meaningful learning experiences that compete with students' expectations and satisfaction with their own use of technology can be very difficult. At this panel, you will learn how to get students excited about reading and writing through fun and engaging projects that leverage music, writing communities, storytelling apps and peer feedback to create powerful student work. The focus will using available technology to ignite a passion for reading and writing, creating projects that further students' interest in the written word for authentic purposes and facilitating deeper discussions of student work. ",Discover beneficial technology platforms that will empower students through creativity and innovation.,Explore what educational tools are available to students and how quantify quality solutions over distracting methods.,Learn how to re-engage students in reading and writing through compelling exercises and mediums.,reading,writing,digital storytelling,,https://www.youtube.com/watch?v=RTxeJre1Lis,,
Music in 2022,Arts,Core Conversation,Deep Understanding,Alan Cross (The Guild Agency),"Alan Cross is an internationally known broadcaster, writer, blogger and speaker.In his 30 years in the music business, Alan has interviewed the biggest names in rock, from David Bowie and U2 to Pearl Jam and the Foo Fighters. Since 1993, he_s been the host of the radio documentary series The Ongoing History of New Music, which is heard across Canada and the US. He_s also written four reference books on alt-rock, recorded four audio books (all top-sellers on iTunes), written liner notes for dozens of CDs and contributed to magazines and other publications in Canada and the US. ",A look ahead to how we_ll enjoy our music ten years from now.,To gain a greater perspective on the future of music.,To gain a greater perspective on the history of music.,alancross ,historyofrocknroll ,,,https://www.youtube.com/watch?v=HgoRSGju0x4,,
Changing K-12 Spending: The 2% Solution,Assessment,Core Conversation,Basic Understanding,"Mary  Skipper (Somerville Public Schools), Greg Nadeau (Public Consulting Group)","K-12 public schools in the U.S. spend $12,401 per student each year. What if we could transform public education for just 2% of that amount? Hear from Mary Skipper, Superintendent of a mid-sized urban school district in Boston, as she shares how she moved from traditional, industrial age processes of group instruction to new, vastly more effective teaching and learning models. We will engage you in an exploration of barriers in education and collaborate on ideas, strategies and solutions that we can implement in our schools tomorrow. ",Participants will learn about innovative ways to change the cost of educating students in the K-12 system,Participants will collaborate on effective teaching and learning models that can be implemented in their own communities., Participants will receive best practices that will help make more efficient use of the limited financial resources provided to educate students.,educational spending,education financing,student costs,,https://www.youtube.com/watch?v=HG2WRlfghQ4,,
How Mastery-Based Learning Changes the Game,Assessment,Core Conversation,Basic Understanding,"Jeremy Kraushar (Mastery Collaborative, Office of Postsecondary Readiness, NYC Dept. of Education), Joy Nolan (Mastery Collaborative)","NYC is home to a remarkable array of schools practicing competency-based (aka mastery-based) education (CBE). Members of the NYC-based Mastery Collaborative will discuss shortcomings inherent in traditional 0-100/A-F grading. We will offer details and resources from several distinct CBE models now in use with diverse students across the city, and will discuss how CBE levels the playing field via better alignment/continuity across grade levels, greater transparency, deepened shared understanding, increased student agency and metacognition.",Participants will analyze the elements of traditional grading that negatively impact students (particularly struggling/under-served students).,Participants will better understand how a community of mastery-based learning models in NYC provide meaningful and transparent feedback for students.,Participants will consider how mastery-based/competency-based teaching and learning levels the playing field for diverse public-school students.,competency-based education,mastery-based education,equity and access,http://www.masterycollaborative.org,,https://vimeo.com/101506545,https://docs.google.com/presentation/d/1J-hXUBX-uPGMDHlZ_Jc0GfD3BBUhzHKeIKMNyougrNo/edit?usp=sharing
How much is too much? Forum for Educator Feedback,Assessment,Core Conversation,Deep Understanding,"Kris Kaase (CCSSO), Scott Norton  (CCSSO)","How do we achieve an appropriate balance of assessment in schools? How do we increase transparency of expectations for assessments? The Council of Chief State School Officers (CCSSO) is working with its members, state school chiefs, to address these questions. As state leaders of education, CCSSO wants to gather feedback from educators about the ways these efforts are working, having an impact, or can be improved. The goal is to engage educators and determine ways to bring their voice into this important issue. ",CCSSO will highlight key takeaways from its resource Ensuring Comprehensive Statewide Systems of High- Quality Assessments: A Framework for the Role,Participants will provide feedback on effective ways to reduce testing and openly discuss the effect of efforts to reduce te,CCSSO will use this _focus group_ feedback to provide information to school chiefs and leading district superintendents in order to support efforts ,assessment,teaching & learning,classroom management,http://www.ccsso.org/News_and_Events/Press_Releases/Chief_State_School_Officers_and_Urban_School_Leaders_Announce_Joint_Effort_to_Improve_Student_Testing.html,,,
Personalized Blended Learning,Assessment,Core Conversation,Field Experience,Mariette  Fourmeaux du Sartel (Hewlett-Packard Company),"Here_s a familiar story.  Textbooks become outdated and online materials offer convenient distraction portals. Educators are faced to decide which world is right for their students. This session equips the educator with tools to blend the best of the printed and digital worlds.  You will learn how to add interactive digital content to your education materials, without affecting appearance.  Bring your laptop because this is an immersive session and you are invited to create individualized learning materials that deliver: (1) Better learning outcomes by targeting students_ individual needs; and (2) Access to supplemental online materials from the printed page.",Access better learning outcomes by targeting your students' individual needs.,Provide real-time adaptive learning solutions to students right off of paper.,Learn how to connect interactive digital content to your education materials while keeping the graphic freedom of your education materials.,differentiated instruction,personalized learning,adaptive learning,http://h30507.www3.hp.com/t5/Teaching-Learning-amp-Technology/The-Best-of-Two-Worlds-Exciting-Personalized-Learning/ba-p/182027#.VaRPfvl_Okp,,,https://www.slideshare.net/secret/weCAu71MUndLDZ
Save Teachers Time For What Matters: Instruction,Assessment,Core Conversation,Field Experience,"Aurora Martinez (Curriculum Associates), Woody Paik (Curriculum Associates)","Assessments are an important tool in measuring concept mastery and student progress, but are they being used to drive instruction and ultimately benefiting the teacher and student? Are you over testing? Join this session to learn how you can assess less to know more about students, freeing up more time to teach and learn creatively. An experienced educator and thought leader will discuss assessments and how they can be used to achieve better instruction and greater student achievement.",How teaching and learning can be informed by assessment data to customize learning pathways for every student,"Learn how to develop systems that minimize duplicate assessments, establish coherence and boost usefulness of data to inform teaching and learning",Strategies for auditing current assessments and determining gaps in efficiency and data utilization,#assessless,,,http://gettingsmart.com/2014/12/future-assessment/; http://gettingsmart.com/2015/06/rethinking-assessment-to-meet-the-demands-of-the-21st-century-workforce/; http://gettingsmart.com/2014/10/formative-assessment-progress-barriers-opportunity/,,,
Should our STEM notebooks go paperless?,Assessment,Core Conversation,Basic Understanding,"Melissa Wrenchey (Nikola Tesla STEM High School), Arny Leslie (Nikola Tesla STEM High School)","In our STEM school, students are using journals as they take notes and then use these journals for review, test taking and information retention.  This year though we are trying something new:  What if students journaled electronically?  Using a cloud-based tool, students can journal in virtually the same way with some cool electronic tools like bookmarking and searching. ",Participants will compare electronic journals to paper journals.,Participants will collaboratively evaluate student work from both electronic and hand-generated journals. ,Participants will evaluate the best tools for journaling and discuss some innovative applications with digital tools.,engineering,notebook ,onenote,https://mix.office.com/watch/nkxnb6hxk3gz,https://youtu.be/esjF2zpEc2o,,
Brain Training for Teens: Ratcheting Up Reasoning,Cognitive Process,Core Conversation,Field Experience,"Lori Cook, Ph.D., CCC/SLP (Center for BrainHealth), Jacquelyn Gamino, Ph.D. (Center for BrainHealth)","A scientifically validated program that teaches advanced reasoning strategies to middle school students is showing around 18% gains in fact recall and as much as 25% increases in the ability to convey meaning from text. The program, called Strategic Memory Advanced Reasoning Training (SMART), teaches students how to best learn, empowering critical thinking, reasoning, judgment, and decision-making. Learn how SMART, developed by cognitive neuroscientists and clinicians at the Center for BrainHealth, is improving academic performance and day-to-day life in the classroom and beyond for teens across the economic spectrum, at different levels of achievement, and even after brain injury. ","Learn why top-down teaching leverages the brain_s innate ability to change throughout life, especially during the critical teenage years.",Understand how the training teachers model has helped to exponentially grow a scientifically validated brain training program across multiple states. ,Debunk the myths that a child_s education can only be saved before age 5 and that improving brain function more than a year post-injury is improbable.,middle school,teacher training,brain,,https://youtu.be/0cK-CtoWNDM,,
