Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
learning,282,"('higher', 'education')",24,"('Melinda', 'Gates', 'Foundation')",13,credit,131,"('cpe', 'credit')",131,"('learning', 'cpe', 'credit')",19,learning,387,"('cpe', 'credit')",131,"('learning', 'cpe', 'credit')",19
students,279,"('student', 'success')",19,"('Bill', 'Melinda', 'Gates')",10,cpe,131,"('higher', 'education')",24,"('education', 'cpe', 'credit')",9,education,317,"('higher', 'education')",48,"('Melinda', 'Gates', 'Foundation')",13
education,221,"('personalized', 'learning')",19,"('Q', '&', 'A')",9,learning,105,"('learning', 'cpe')",19,"('personalized', 'learning', 'student')",7,students,284,"('personalized', 'learning')",32,"('Bill', 'Melinda', 'Gates')",10
teachers,132,"('Melinda', 'Gates')",15,"('Hosted', 'Bill', 'Melinda')",9,education,96,"('design', 'thinking')",14,"('credit', 'higher', 'education')",6,teachers,137,"('design', 'thinking')",29,"('Q', '&', 'A')",9
school,122,"('teaching', 'learning')",15,"('learning', 'attention', 'issues')",5,design,37,"('personalized', 'learning')",13,"('learning', 'student', 'success')",6,student,136,"('professional', 'development')",28,"('Hosted', 'Bill', 'Melinda')",9
student,114,"('design', 'thinking')",15,"('&', 'Melinda', 'Gates')",5,innovation,30,"('professional', 'development')",13,"('cpe', 'credit', 'higher')",6,school,134,"('student', 'success')",26,"('education', 'cpe', 'credit')",9
session,103,"('professional', 'development')",15,"('kids', 'learning', 'attention')",5,edtech,29,"('competency-based', 'education')",11,"('cpe', 'credit', 'student')",6,credit,132,"('learning', 'cpe')",19,"('personalized', 'learning', 'student')",8
design,89,"('best', 'practices')",14,"('Project', 'Based', 'Learning')",5,higher,24,"('education', 'cpe')",9,"('cpe', 'credit', 'personalized')",6,cpe,131,"('21st', 'century')",19,"('21st', 'century', 'skills')",7
schools,83,"('Gates', 'Foundation')",13,"('Bill', '&', 'Melinda')",5,student,22,"('blended', 'learning')",8,"('project', 'based', 'learning')",6,design,126,"('virtual', 'reality')",18,"('learning', 'student', 'success')",7
educators,83,"('21st', 'century')",13,"('Technology', 'Test', 'Kitchen')",4,entrepreneurship,19,"('based', 'learning')",8,"('credit', 'personalized', 'learning')",6,session,103,"('online', 'learning')",16,"('project', 'based', 'learning')",6
share,82,"('learning', 'environments')",12,"('Ready', 'implementation', 'summit')",4,development,19,"('student', 'success')",7,"('innovation', 'cpe', 'credit')",5,technology,92,"('Melinda', 'Gates')",15,"('credit', 'personalized', 'learning')",6
more,81,"('online', 'learning')",12,"('workshops', 'Ready', 'implementation')",4,teacher,17,"('learning', 'student')",7,"('design', 'thinking', 'cpe')",5,schools,85,"('learning', 'environments')",15,"('cpe', 'credit', 'higher')",6
technology,80,"('student', 'outcomes')",12,"('Gates', 'Foundation', 'Join')",4,thinking,16,"('virtual', 'reality')",7,"('thinking', 'cpe', 'credit')",5,educators,83,"('competency-based', 'education')",15,"('credit', 'higher', 'education')",6
's,76,"('around', 'world')",12,"('school', 'district', 'leaders')",4,leadership,16,"('instructional', 'strategies')",7,"('student', 'centered', 'learning')",5,share,82,"('teaching', 'learning')",15,"('cpe', 'credit', 'personalized')",6
learn,75,"('improve', 'student')",11,"('improve', 'student', 'outcomes')",4,stem,15,"('credit', 'personalized')",6,"('21st', 'century', 'skills')",4,more,81,"('best', 'practices')",14,"('learning', 'attention', 'issues')",6
classroom,74,"('problem', 'solving')",11,"('five', 'kids', 'learning')",3,personalized,14,"('global', 'education')",6,"('cpe', 'credit', 'professional')",4,classroom,80,"('problem', 'solving')",14,"('cpe', 'credit', 'student')",6
